# metric_direction: lower_is_better (worst-case ASR)
iteration	commit	worst_asr	avg_asr	clean_acc	guard	status	description
0	-	15.99	7.06	86.05	pass	baseline	MI ensemble rb=2.0 cg=0.05 at=0.9
1	-	15.91	7.05	85.85	pass	discard	dl_entropy_gate=0.5: marginal -0.08pp worst ASR, not worth clean acc drop
2	-	17.98	8.37	87.23	pass	discard	confidence-driven alpha=0.5 rb=0: ASR regresses significantly
3	-	17.98	8.20	87.23	pass	discard	max-confidence selection: worse than weighted averaging
4	-	16.57	8.35	86.00	pass	discard	majority vote: loses soft probability info, ASR regresses
5	-	15.98	7.04	86.09	pass	discard	noisy ensemble ns=0.02 nr=10: no meaningful improvement
6	-	15.74	6.94	85.85	pass	keep	DE-optimized weights (cat=0.25 rf=0.38 lstm=0.08 resdnn=0.29) + rb=3: worst 15.74% avg 6.94%
7	-	15.46	6.61	85.50	pass	keep	joint DE optimization: weights(cat=0.19 rf=0.35 lstm=0.02 resdnn=0.44) + MI(rb=5.08 cg=0.02 at=0.983)
8	-	15.24	6.80	85.75	pass	keep	refined DE: weights(cat=0.14 rf=0.23 lstm=0.01 resdnn=0.62) + MI(rb=7.86 cg=0.028 at=0.9835)
9	-	15.10	6.74	85.55	pass	keep	DE 3-seed heavier worst penalty: weights(cat=0.08 rf=0.12 lstm=0.04 resdnn=0.76) + MI(rb=13.07 cg=0.071 at=0.977)
10	-	15.26	6.35	85.95	pass	discard	balanced DE with dl_temp: worst regressed 15.10->15.26 due to rounding, reverted to iter 9
